Concept,Role,Family,Icon Name,Package,Import Hint,Metaphor,Use When,Avoid When,Keywords,Verified Version,Official URL
Automation,Product capability,Tabler Icons,IconBinaryTree2,@tabler/icons-react,"import { IconBinaryTree2 } from '@tabler/icons-react'","Explicit branching decision tree","A named rule branches into real outcomes","Generic AI, a linear task, or every automation feature uses one tree","automation decision tree branch rule",3.45.0,https://tabler.io/icons
Document extraction,Product capability,Tabler Icons,IconTextScan2,@tabler/icons-react,"import { IconTextScan2 } from '@tabler/icons-react'","Text under a scanning frame","OCR, text recognition, or structured field extraction is literal","Document search, generation, or vague intelligence","text scan ocr extract recognition",3.45.0,https://tabler.io/icons
Webhook integration,Product architecture,Tabler Icons,IconWebhook,@tabler/icons-react,"import { IconWebhook } from '@tabler/icons-react'","Webhook junction","Webhook configuration, delivery, or event subscription is literal","All integrations, a provider brand, or a manual link","webhook integration endpoint event",3.45.0,https://tabler.io/icons
Routing,Product workflow,Tabler Icons,IconRoute,@tabler/icons-react,"import { IconRoute } from '@tabler/icons-react'","Path between route points","Delivery routing, path planning, or a multi-stage pipeline is literal","Back navigation, simple send, or an unsequenced list","route logistics path planning pipeline",3.45.0,https://tabler.io/icons
Identity verification,Security mechanism,Tabler Icons,IconFingerprintScan,@tabler/icons-react,"import { IconFingerprintScan } from '@tabler/icons-react'","Fingerprint inside a scan frame","Active biometric capture or verification is the actual step","Generic trust, security overview, or non-biometric login","fingerprint scan biometric identity verification",3.45.0,https://tabler.io/icons
Flow analysis,Data view,Tabler Icons,IconChartSankey,@tabler/icons-react,"import { IconChartSankey } from '@tabler/icons-react'","Sankey flow bands","The view explains transfer volume or movement between stages","Simple totals, trends, correlations, or generic analytics","sankey flow transfer stages analytics",3.45.0,https://tabler.io/icons
Performance metric,System metric,Tabler Icons,IconGauge,@tabler/icons-react,"import { IconGauge } from '@tabler/icons-react'","Bounded instrument gauge","Capacity, utilization, score, or bounded health is measured","Latency trace, historical trend, or vague fast branding","performance gauge capacity utilization",3.45.0,https://tabler.io/icons
Component system,Product architecture,Tabler Icons,IconComponents,@tabler/icons-react,"import { IconComponents } from '@tabler/icons-react'","Connected modular components","A component library, modular system, or reusable block inventory is literal","A vague platform label or arbitrary layers metaphor","components modules design system architecture",3.45.0,https://tabler.io/icons
Localization,Product capability,Tabler Icons,IconLanguage,@tabler/icons-react,"import { IconLanguage } from '@tabler/icons-react'","Language characters","Language, locale, or translation settings are literal","Regions, world coverage, routes, or time zones","language translation localization locale",3.45.0,https://tabler.io/icons
Release artifact,Product event,Tabler Icons,IconPackageExport,@tabler/icons-react,"import { IconPackageExport } from '@tabler/icons-react'","Package moving outward","A package, build artifact, or shipment is actually exported or released","Generic launch, content publishing, or growth","release package export artifact dispatch",3.45.0,https://tabler.io/icons
Automation,Product capability,Iconoir,Strategy,iconoir-react,"import { Strategy } from 'iconoir-react'","Branching strategy path","A rule branches into named options or decisions","One-step automation, generic intelligence, or vague business strategy","automation strategy branch decisions workflow",7.11.1,https://iconoir.com/
Document extraction,Product capability,Iconoir,Scanning,iconoir-react,"import { Scanning } from 'iconoir-react'","Active scan frame","The step captures or scans a physical or digital source","Search, generation, or extraction whose output is not stated","scan capture recognition extraction",7.11.1,https://iconoir.com/
Connected system,Product architecture,Iconoir,Network,iconoir-react,"import { Network } from 'iconoir-react'","Connected network nodes","A topology, connected service group, or network is literal","Every integration destination or generic community","network topology services connected integration",7.11.1,https://iconoir.com/
Routing,Product workflow,Iconoir,PathArrow,iconoir-react,"import { PathArrow } from 'iconoir-react'","Directed path","A route, handoff, or directional workflow is shown","Back navigation, unordered content, or simple sharing","route path handoff directional workflow",7.11.1,https://iconoir.com/
Identity verification,Security mechanism,Iconoir,FingerprintScan,iconoir-react,"import { FingerprintScan } from 'iconoir-react'","Scanned fingerprint","Biometric capture or fingerprint verification is literal","Generic trust, privacy, compliance, or non-biometric access","fingerprint scan biometric identity",7.11.1,https://iconoir.com/
Comparison report,Data view,Iconoir,ReportColumns,iconoir-react,"import { ReportColumns } from 'iconoir-react'","Report with comparison columns","The destination is a columnar report comparing categories","Correlation, trend, exact table, or generic analytics","report columns comparison analytics",7.11.1,https://iconoir.com/
Performance metric,System metric,Iconoir,DashboardSpeed,iconoir-react,"import { DashboardSpeed } from 'iconoir-react'","Speed dashboard instrument","A speed, capacity, or bounded performance dashboard is literal","Generic product quality or a historical latency trace","performance dashboard speed capacity",7.11.1,https://iconoir.com/
Component system,Product architecture,Iconoir,Component,iconoir-react,"import { Component } from 'iconoir-react'","Component construction shape","A reusable component or design-system unit is literal","A vague platform promise or arbitrary abstract feature","component module design system architecture",7.11.1,https://iconoir.com/
Localization,Product capability,Iconoir,Translate,iconoir-react,"import { Translate } from 'iconoir-react'","Translation characters","Translation or locale conversion is the real operation","Global scope, maps, regions, or time zones","translate localization language locale",7.11.1,https://iconoir.com/
Release artifact,Product event,Iconoir,Package,iconoir-react,"import { Package } from 'iconoir-react'","Physical or software package","The released entity is a package, build, or shipment","Generic launch, publishing, achievement, or growth","package release artifact shipment",7.11.1,https://iconoir.com/
Automation,Product capability,Phosphor,TreeStructure,@phosphor-icons/react,"import { TreeStructure } from '@phosphor-icons/react'","Hierarchical branching structure","A named workflow branches or nests real rules","One-step automation or every AI feature uses the same tree","automation workflow tree branch hierarchy",2.1.10,https://phosphoricons.com/
Document extraction,Product capability,Phosphor,Scan,@phosphor-icons/react,"import { Scan } from '@phosphor-icons/react'","Open scan frame","The source is actively scanned or captured","Search, generation, or extraction without a visible label","scan capture document recognition",2.1.10,https://phosphoricons.com/
Connected integration,Product architecture,Phosphor,PlugsConnected,@phosphor-icons/react,"import { PlugsConnected } from '@phosphor-icons/react'","Two connected plugs","A connector is actively linked and provider identity is shown separately","Every integration page or a webhook-specific event","integration connector plugs linked",2.1.10,https://phosphoricons.com/
Routing,Product workflow,Phosphor,Path,@phosphor-icons/react,"import { Path } from '@phosphor-icons/react'","Directed path with points","A route, pipeline, or multi-stage handoff is literal","Back navigation, simple sharing, or an unordered list","route path pipeline handoff",2.1.10,https://phosphoricons.com/
Identity verification,Security mechanism,Phosphor,FingerprintSimple,@phosphor-icons/react,"import { FingerprintSimple } from '@phosphor-icons/react'","Fingerprint ridges","Fingerprint identity or biometric access is literal","Generic security, privacy, or trust claims","fingerprint biometric identity verification",2.1.10,https://phosphoricons.com/
Relationship analysis,Data view,Phosphor,ChartScatter,@phosphor-icons/react,"import { ChartScatter } from '@phosphor-icons/react'","Scatter plot","The view studies relationship, clusters, or distribution","Trend, composition, totals, or a generic analytics destination","scatter correlation distribution analytics",2.1.10,https://phosphoricons.com/
Performance metric,System metric,Phosphor,Gauge,@phosphor-icons/react,"import { Gauge } from '@phosphor-icons/react'","Bounded gauge","Capacity, utilization, or bounded health is displayed","Latency history, raw throughput, or vague speed","gauge performance capacity utilization",2.1.10,https://phosphoricons.com/
System structure,Product architecture,Phosphor,TreeView,@phosphor-icons/react,"import { TreeView } from '@phosphor-icons/react'","Visible hierarchy tree","The interface exposes a real file, object, service, or component hierarchy","A vague platform or arbitrary layers concept","tree view hierarchy structure architecture",2.1.10,https://phosphoricons.com/
Localization,Product capability,Phosphor,Translate,@phosphor-icons/react,"import { Translate } from '@phosphor-icons/react'","Translation characters","Language translation or locale conversion is literal","Global reach, regions, routes, or time zones","translate localization language locale",2.1.10,https://phosphoricons.com/
Release artifact,Product event,Phosphor,Package,@phosphor-icons/react,"import { Package } from '@phosphor-icons/react'","Package artifact","The released object is a package, build, or shipment","Generic launch, content publish, or achievement","package release artifact shipment",2.1.10,https://phosphoricons.com/
Automation history,System activity,Radix Icons,ActivityLogIcon,@radix-ui/react-icons,"import { ActivityLogIcon } from '@radix-ui/react-icons'","Compact activity trace","A dense inspector shows rule runs, events, or execution history","The action to create automation or a vague AI feature","activity log automation runs events history",1.3.2,https://www.radix-ui.com/icons
Document reading,Product capability,Radix Icons,ReaderIcon,@radix-ui/react-icons,"import { ReaderIcon } from '@radix-ui/react-icons'","Compact readable document","A dense toolbar opens extracted text or reader mode","Scanning, OCR capture, or document search","reader document extracted text compact",1.3.2,https://www.radix-ui.com/icons
Connected integration,Product architecture,Radix Icons,Link2Icon,@radix-ui/react-icons,"import { Link2Icon } from '@radix-ui/react-icons'","Compact linked chain","A URL, linked resource, or connection is literal","Provider identity, webhook delivery, or all integrations","link connection integration resource",1.3.2,https://www.radix-ui.com/icons
Routing,Product workflow,Radix Icons,Share2Icon,@radix-ui/react-icons,"import { Share2Icon } from '@radix-ui/react-icons'","One source branching to destinations","The action routes or shares one item to multiple destinations","Back navigation, logistics map, or a private internal move","share route destinations handoff",1.3.2,https://www.radix-ui.com/icons
Identity verification,Security mechanism,Radix Icons,IdCardIcon,@radix-ui/react-icons,"import { IdCardIcon } from '@radix-ui/react-icons'","Compact identity card","Identity records, credentials, or account verification are literal","Generic trust, privacy, or biometric capture","identity card credential verification",1.3.2,https://www.radix-ui.com/icons
Category comparison,Data view,Radix Icons,BarChartIcon,@radix-ui/react-icons,"import { BarChartIcon } from '@radix-ui/react-icons'","Compact bar chart","The view compares discrete categories in a dense control","Trend, relationship, composition, or generic analytics","bar chart categories comparison analytics",1.3.2,https://www.radix-ui.com/icons
Performance timing,System metric,Radix Icons,LapTimerIcon,@radix-ui/react-icons,"import { LapTimerIcon } from '@radix-ui/react-icons'","Compact lap timer","Duration, elapsed processing time, or latency timing is literal","Capacity, throughput, or vague speed branding","timer latency duration performance",1.3.2,https://www.radix-ui.com/icons
Component instance,Product architecture,Radix Icons,ComponentInstanceIcon,@radix-ui/react-icons,"import { ComponentInstanceIcon } from '@radix-ui/react-icons'","Compact component instance","A design inspector or component system references an instance","A vague platform, deployment, or arbitrary module","component instance design system inspector",1.3.2,https://www.radix-ui.com/icons
World scope,Domain scope,Radix Icons,GlobeIcon,@radix-ui/react-icons,"import { GlobeIcon } from '@radix-ui/react-icons'","Compact globe","The selector literally means worldwide scope or opens a world view","Translation, locale, multi-region status, or generic global value","world scope globe international",1.3.2,https://www.radix-ui.com/icons
Release checkpoint,Product event,Radix Icons,CommitIcon,@radix-ui/react-icons,"import { CommitIcon } from '@radix-ui/react-icons'","Version-control commit node","A code commit or release checkpoint is literal","Content publishing, shipment release, or generic launch","commit version release checkpoint",1.3.2,https://www.radix-ui.com/icons
Automation,Product capability,Remix Icon,ri-flow-chart,remixicon,"Official SVG flow-chart.svg or CSS class ri-flow-chart","Flowchart junction","A named process has real stages and decisions","A single action, vague AI, or every automation feature","automation flow chart workflow stages",4.9.1,https://www.remixicon.com/
Document extraction,Product capability,Remix Icon,ri-file-scan-line,remixicon,"Official SVG file-scan-line.svg or CSS class ri-file-scan-line","Document inside a scan frame","A file is scanned for text, fields, or validation","Search, generation, or a non-file source","file scan document ocr extract",4.9.1,https://www.remixicon.com/
Webhook integration,Product architecture,Remix Icon,ri-webhook-line,remixicon,"Official SVG webhook-line.svg or CSS class ri-webhook-line","Webhook junction","Webhook setup, subscription, or delivery is literal","All integrations, provider identity, or a manual link","webhook integration event endpoint",4.9.1,https://www.remixicon.com/
Routing,Product workflow,Remix Icon,ri-route-line,remixicon,"Official SVG route-line.svg or CSS class ri-route-line","Route between marked points","Routing, logistics, path planning, or staged handoff is literal","Back navigation or a simple direct action","route logistics path planning",4.9.1,https://www.remixicon.com/
Identity verification,Security mechanism,Remix Icon,ri-fingerprint-line,remixicon,"Official SVG fingerprint-line.svg or CSS class ri-fingerprint-line","Fingerprint ridges","Fingerprint identity or biometric access is literal","Generic trust, privacy, or non-biometric login","fingerprint identity biometric verification",4.9.1,https://www.remixicon.com/
Relationship analysis,Data view,Remix Icon,ri-bubble-chart-line,remixicon,"Official SVG bubble-chart-line.svg or CSS class ri-bubble-chart-line","Bubble relationship chart","The view compares relationships with a third magnitude variable","Trend, exact totals, category bars, or generic analytics","bubble chart relationship magnitude analytics",4.9.1,https://www.remixicon.com/
Performance signal,System metric,Remix Icon,ri-pulse-line,remixicon,"Official SVG pulse-line.svg or CSS class ri-pulse-line","Pulse trace","A live signal, heartbeat, or time-series activity is literal","Capacity gauge, generic speed, or decorative heartbeat","pulse trace activity live performance",4.9.1,https://www.remixicon.com/
System structure,Product architecture,Remix Icon,ri-node-tree,remixicon,"Official SVG node-tree.svg or CSS class ri-node-tree","Node hierarchy","A real service, object, component, or file hierarchy is shown","A vague platform or every automation destination","node tree hierarchy architecture",4.9.1,https://www.remixicon.com/
Localization,Product capability,Remix Icon,ri-translate-2,remixicon,"Official SVG translate-2.svg or CSS class ri-translate-2","Translation characters","Translation or locale conversion is literal","World scope, regions, maps, or time zones","translate localization language locale",4.9.1,https://www.remixicon.com/
Release checkpoint,Product event,Remix Icon,ri-git-commit-line,remixicon,"Official SVG git-commit-line.svg or CSS class ri-git-commit-line","Version-control commit node","A code commit, version checkpoint, or release marker is literal","Content publish, package shipment, or generic launch","git commit release version checkpoint",4.9.1,https://www.remixicon.com/
Automation,Product capability,Hugeicons Free,Flowchart02Icon,@hugeicons/core-free-icons,"import { Flowchart02Icon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Detailed branching flowchart","A named process has several real branches or stages","A single action, vague AI, or every automation feature","automation flowchart branches workflow",4.2.3,https://hugeicons.com/docs/
Document extraction,Product capability,Hugeicons Free,FileScanIcon,@hugeicons/core-free-icons,"import { FileScanIcon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","File inside a scan frame","A file is scanned for OCR, fields, or validation","Search, generation, or a non-file source","file scan ocr extraction document",4.2.3,https://hugeicons.com/docs/
Webhook integration,Product architecture,Hugeicons Free,WebhookIcon,@hugeicons/core-free-icons,"import { WebhookIcon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Webhook junction","Webhook configuration, delivery, or subscription is literal","All integrations, a provider mark, or a manual link","webhook integration event endpoint",4.2.3,https://hugeicons.com/docs/
Routing,Product workflow,Hugeicons Free,Route03Icon,@hugeicons/core-free-icons,"import { Route03Icon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Multi-point route","Logistics routing, path planning, or staged handoff is literal","Back navigation or a single send action","route logistics path planning handoff",4.2.3,https://hugeicons.com/docs/
Identity verification,Security mechanism,Hugeicons Free,FingerPrintScanIcon,@hugeicons/core-free-icons,"import { FingerPrintScanIcon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Fingerprint scanning frame","Active biometric capture or verification is literal","Generic trust, privacy, or non-biometric authentication","fingerprint scan biometric identity",4.2.3,https://hugeicons.com/docs/
Relationship analysis,Data view,Hugeicons Free,ChartScatterIcon,@hugeicons/core-free-icons,"import { ChartScatterIcon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Scatter plot","The view studies relationships, clusters, or distributions","Trend, totals, composition, or generic analytics","scatter relationship distribution analytics",4.2.3,https://hugeicons.com/docs/
Performance metric,System metric,Hugeicons Free,CircleGaugeIcon,@hugeicons/core-free-icons,"import { CircleGaugeIcon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Circular bounded gauge","Capacity, utilization, or bounded health is displayed","Latency history, throughput flow, or vague speed","gauge performance capacity utilization",4.2.3,https://hugeicons.com/docs/
Component system,Product architecture,Hugeicons Free,ComponentIcon,@hugeicons/core-free-icons,"import { ComponentIcon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Component construction geometry","A reusable component or modular system is literal","A vague platform promise or arbitrary decoration","component module design system architecture",4.2.3,https://hugeicons.com/docs/
Localization,Product capability,Hugeicons Free,TranslateIcon,@hugeicons/core-free-icons,"import { TranslateIcon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Translation characters","Translation or locale conversion is the actual capability","World scope, maps, regions, or time zones","translate localization language locale",4.2.3,https://hugeicons.com/docs/
Release dispatch,Product event,Hugeicons Free,PackageSentIcon,@hugeicons/core-free-icons,"import { PackageSentIcon } from '@hugeicons/core-free-icons'; render with @hugeicons/react","Package moving outward","A package, build artifact, or shipment is actually dispatched","Content publish, generic launch, or achievement","package sent release dispatch artifact",4.2.3,https://hugeicons.com/docs/
